Country,1990,2005,2017,2017(% of world),2017 vs 1990: change (%),Per Land Area(t /km²/yr),Per Capita(t /cap/yr)
World – International Aviation,258.941,422.777,543.381,1.47%,109.80%,n/a,
World – International Shipping,371.804,572.169,677.248,1.83%,82.20%,n/a,
Afghanistan,2.546,1.063,11.422,0.03%,348.60%,18,
Albania,6.583,4.196,5.026,0.01%,-23.70%,175,
Algeria,65.677,98.197,159.929,0.43%,143.50%,67,
Angola,5.851,15.975,30.876,0.08%,427.70%,25,
Anguilla,0.006,0.014,0.028,0.00%,366.70%,308,
Antigua and Barbuda,0.223,0.283,0.624,0.00%,179.80%,1412,
Argentina,112.434,165.429,209.968,0.57%,86.70%,76,
Armenia,20.699,4.542,4.832,0.01%,-76.70%,162,
Aruba,0.297,0.47,0.959,0.00%,222.90%,5328,
Australia,275.408,391.59,402.253,1.08%,46.10%,52,
Austria,62.918,80.994,72.249,0.19%,14.80%,861,
Azerbaijan,58.077,30.485,32.544,0.09%,-44.00%,376,
Bahamas,1.524,2.068,2.997,0.01%,96.70%,215,
Bahrain,11.988,23.388,35.775,0.10%,198.40%,46643,
Bangladesh,13.868,38.834,84.546,0.23%,509.60%,573,
Barbados,0.776,2.162,3.172,0.01%,308.80%,7377,
Belarus,109.069,61.396,62.34,0.17%,-42.80%,300,
Belgium,115.903,118.708,104.221,0.28%,-10.10%,3414,
Belize,0.188,0.44,0.44,0.00%,134.00%,19,
Benin,0.415,2.839,7.097,0.02%,1610.10%,62,
Bermuda,0.335,0.284,0.429,0.00%,28.10%,7944,
Bhutan,0.208,0.515,1.454,0.00%,599.00%,38,
Bolivia,6.287,9.998,20.462,0.06%,225.50%,19,
Bosnia and Herzegovina,24.559,16.89,25.618,0.07%,4.30%,500,
Botswana,2.818,4.465,7.913,0.02%,180.80%,14,
Brazil,228.603,380.765,492.791,1.33%,115.60%,58,
British Virgin Islands,0.026,0.032,0.149,0.00%,473.10%,987,
Brunei,3.397,5.174,6.711,0.02%,97.60%,1164,
Bulgaria,82.271,52.032,49.568,0.13%,-39.80%,447,
Burkina Faso,0.38,1.038,3.399,0.01%,794.50%,12,
Burundi,0.21,0.307,0.289,0.00%,37.60%,10,
Cambodia,0.407,2.686,10.56,0.03%,2494.60%,58,
Cameroon,7.097,5.52,9.768,0.03%,37.60%,21,
Canada,455.827,581.267,617.301,1.66%,35.40%,62,
Cape Verde,0.049,0.227,0.955,0.00%,1849.00%,237,
Cayman Islands,0.148,0.188,0.493,0.00%,233.10%,1867,
Central African Republic,0.159,0.246,0.486,0.00%,205.70%,1,
Chad,0.268,0.383,0.925,0.00%,245.10%,1,
Chile,32.654,59.747,90.325,0.24%,176.60%,119,
China,2397.048,6263.064,10877.218,29.34%,353.80%,1133,
Colombia,51.919,60.61,74.954,0.20%,44.40%,66,
Comoros,0.049,0.115,0.206,0.00%,320.40%,111,
Congo,0.902,4.359,5.514,0.01%,511.30%,16,
Cook Islands,0.043,0.058,0.047,0.00%,9.30%,199,
Costa Rica,2.913,6.306,8.138,0.02%,179.40%,159,
Croatia,25.164,23.634,17.466,0.05%,-30.60%,309,
Cuba,37.109,26.165,31.277,0.08%,-15.70%,285,
Curaçao,5.474,4.774,7.519,0.02%,37.40%,16935,
Cyprus,4.54,7.883,7.035,0.02%,55.00%,760,
Czech Republic,162.835,127.157,109.756,0.30%,-32.60%,1392,
Democratic Republic of the Congo,3.441,2.589,3.496,0.01%,1.60%,1,
Denmark,53.705,51.485,33.573,0.09%,-37.50%,779,
Djibouti,1.101,1.469,1.014,0.00%,-7.90%,44,
Dominica,0.033,0.035,0.122,0.00%,269.70%,162,
Dominican Republic,8.024,19.409,23.111,0.06%,188.00%,475,
East Timor,0.13,0.272,0.422,0.00%,224.60%,28,
Ecuador,16.119,28.32,39.507,0.11%,145.10%,143,
Egypt,90.783,176.329,258.668,0.70%,184.90%,258,
El Salvador,2.633,6.905,7.857,0.02%,198.40%,373,
Equatorial Guinea,0.097,3.371,2.469,0.01%,2445.40%,88,
Eritrea,0.214,0.688,0.737,0.00%,244.40%,6,
Estonia,38.467,19.643,17.89,0.05%,-53.50%,396,
Eswatini,0.602,1.541,1.247,0.00%,107.10%,72,
Ethiopia,2.39,5.327,14.9,0.04%,523.40%,13,
European Union,4409.339,4249.995,3548.345,9.57%,-19.50%,793,
Falkland Islands,0.013,0.016,0.038,0.00%,192.30%,3,
Faroe Islands,0.001,0.002,0.002,0.00%,100.00%,1,
Fiji,1.028,2.174,1.44,0.00%,40.10%,79,
Finland,57.242,58.36,46.846,0.13%,-18.20%,138,
France Monaco,386.214,408.158,338.193,0.91%,-12.40%,528,
French Guiana,0.371,0.491,0.719,0.00%,93.80%,9,
French Polynesia,0.839,0.785,0.636,0.00%,-24.20%,153,
Gabon,4.857,6.394,6.564,0.02%,35.10%,25,
Georgia,34.745,4.979,11.558,0.03%,-66.70%,166,
Germany,1018.097,837.284,796.529,2.15%,-21.80%,2230,
Ghana,3.195,7.329,18.626,0.05%,483.00%,78,
Gibraltar,0.144,0.406,0.627,0.00%,335.40%,104500,
Greece,79.201,104.835,72.145,0.19%,-8.90%,547,
Greenland,0.003,0.631,0.518,0.00%,17166.70%,0,
Grenada,0.075,0.125,0.28,0.00%,273.30%,814,
Guadeloupe,0.875,1.035,2.257,0.01%,157.90%,1386,
Guatemala,3.874,11.674,17.76,0.05%,358.40%,163,
Guinea,1.074,1.119,2.731,0.01%,154.30%,11,
Guinea-Bissau,0.196,0.289,0.409,0.00%,108.70%,11,
Guyana,0.337,0.725,1.771,0.00%,425.50%,8,
Haiti,1.147,2.234,3.521,0.01%,207.00%,127,
Honduras,2.351,7.806,10.562,0.03%,349.30%,94,
Hong Kong,34.182,41.916,44.715,0.12%,30.80%,16230,
Hungary,71.929,59.758,50.856,0.14%,-29.30%,547,
Iceland,2.346,3.17,4.097,0.01%,74.60%,40,
India,605.968,1210.754,2454.774,6.62%,305.10%,747,
Indonesia,162,359.989,511.327,1.38%,215.60%,268,
Iran,206.78,467.905,671.45,1.81%,224.70%,407,
Iraq,69.262,89.103,199.296,0.54%,187.70%,455,
Ireland,32.852,47.277,38.914,0.10%,18.50%,554,
Israel,35.291,62.149,66.916,0.18%,89.60%,3222,
Italy San Marino Vatican City,430.762,498.205,361.176,0.97%,-16.20%,1198,
Ivory Coast,3.02,6.392,12.505,0.03%,314.10%,39,
Jamaica,7.525,10.631,7.546,0.02%,0.30%,687,
Japan,1149.4,1276.863,1320.776,3.56%,14.90%,3494,
Jordan,10.208,19.755,24.565,0.07%,140.60%,275,
Kazakhstan,250.382,182.369,266.207,0.72%,6.30%,98,
Kenya,6.467,8.787,18.594,0.05%,187.50%,32,
Kiribati,0.02,0.033,0.03,0.00%,50.00%,37,
Kuwait,31.414,75.218,97.151,0.26%,209.30%,5452,
Kyrgyzstan,23.696,5.475,11.18,0.03%,-52.80%,56,
Laos,0.211,1.038,2.818,0.01%,1235.50%,12,
Latvia,20.141,8.242,8.049,0.02%,-60.00%,125,
Lebanon,5.977,16.505,23.102,0.06%,286.50%,2210,
Lesotho,0.1,0.175,0.754,0.00%,654.00%,25,
Liberia,0.416,0.473,1.129,0.00%,171.40%,10,
Libya,37.143,56.7,57.584,0.16%,55.00%,33,
Lithuania,35.314,14.075,15.311,0.04%,-56.60%,234,
Luxembourg,11.75,12.156,9.54,0.03%,-18.80%,3689,
Macau,0.982,1.624,1.28,0.00%,30.30%,40895,
Madagascar,0.7,2.22,4.156,0.01%,493.70%,7,
Malawi,0.457,1.437,1.572,0.00%,244.00%,13,
Malaysia,59.225,182.503,258.783,0.70%,336.90%,782,
Maldives,0.065,0.479,0.964,0.00%,1383.10%,3213,
Mali,0.383,0.543,0.951,0.00%,148.30%,1,
Malta,2.352,2.769,1.876,0.01%,-20.20%,5937,
Martinique,0.944,1.12,2.374,0.01%,151.50%,2105,
Mauritania,0.684,2.911,2.962,0.01%,333.00%,3,
Mauritius,1.191,2.977,3.993,0.01%,235.30%,1957,
Mexico,290.355,448.171,507.183,1.37%,74.70%,258,
Moldova,31.957,8.139,8.263,0.02%,-74.10%,244,
Mongolia,13.151,11.083,25.747,0.07%,95.80%,16,
Morocco,22.386,44.368,61.584,0.17%,175.10%,138,
Mozambique,1.183,2.703,7.754,0.02%,555.50%,10,
Myanmar,4.401,11.146,28.462,0.08%,546.70%,42,
Namibia,1.542,2.504,4.299,0.01%,178.80%,5,
Nepal,1.066,3.298,8.218,0.02%,670.90%,56,
Netherlands,161.447,181.433,174.77,0.47%,8.30%,4176,
New Caledonia,1.623,2.453,5.912,0.02%,264.30%,318,
New Zealand,24.006,36.746,36.795,0.10%,53.30%,136,
Nicaragua,1.945,4.312,5.919,0.02%,204.30%,45,
Niger,0.875,0.796,2.497,0.01%,185.40%,2,
Nigeria,68.581,100.196,94.847,0.26%,38.30%,103,
North Korea,131.365,79.568,37.774,0.10%,-71.20%,313,
North Macedonia,11.189,9.694,8.049,0.02%,-28.10%,313,
Norway,51.454,55.403,52.492,0.14%,2.00%,145,
Oman,11.884,32.964,78.421,0.21%,559.90%,253,
Pakistan,66.27,130.354,197.297,0.53%,197.70%,224,
Palau,2.155,1.734,1.411,0.00%,-34.50%,3074,
Panama,2.735,7.204,12.256,0.03%,348.10%,163,
Papua New Guinea,2.307,4.379,4.351,0.01%,88.60%,9,
Paraguay,2.263,3.934,6.535,0.02%,188.80%,16,
Peru,21.039,31.692,55.931,0.15%,165.80%,44,
Philippines,43.623,81.261,137.154,0.37%,214.40%,457,
Poland,371.139,316.256,319.028,0.86%,-14.00%,1020,
Portugal,43.672,68.077,56.771,0.15%,30.00%,616,
Puerto Rico,2.064,2.272,2.164,0.01%,4.80%,238,
Qatar,16.291,43.435,97.787,0.26%,500.30%,8440,
Réunion,1.01,2.367,2.916,0.01%,188.70%,1161,
Romania,187.142,104.713,81.131,0.22%,-56.60%,340,
Russia,2378.921,1733.95,1764.866,4.76%,-25.80%,103,
Rwanda,0.525,0.748,1.106,0.00%,110.70%,42,
"Saint Helena, Ascension and Tristan da Cunha",0.01,0.01,0.015,0.00%,50.00%,49,
Saint Kitts and Nevis,0.034,0.063,0.238,0.00%,600.00%,912,
Saint Lucia,0.076,0.158,0.364,0.00%,378.90%,591,
Saint Pierre and Miquelon,0.148,0.031,0.075,0.00%,-49.30%,310,
Saint Vincent and the Grenadines,0.038,0.095,0.179,0.00%,371.10%,460,
Samoa,0.129,0.121,0.147,0.00%,14.00%,52,
São Tomé and Príncipe,0.047,0.057,0.157,0.00%,234.00%,163,
Saudi Arabia,166.172,339.441,638.762,1.72%,284.40%,297,
Senegal,2.397,5.8,9.689,0.03%,304.20%,49,
Serbia & Montenegro,66.388,61.497,62.487,0.17%,-5.90%,612,
Seychelles,0.288,0.678,0.968,0.00%,236.10%,2142,
Sierra Leone,0.741,0.493,1.309,0.00%,76.70%,18,
Singapore,31.623,42.998,55.018,0.15%,74.00%,76841,
Slovakia,60.537,42.194,37.855,0.10%,-37.50%,772,
Slovenia,16.623,18.3,15.209,0.04%,-8.50%,750,
Solomon Islands,0.133,0.187,0.146,0.00%,9.80%,5,
Somalia,0.695,0.765,0.927,0.00%,33.40%,1,
South Africa,312.463,433.17,467.654,1.26%,49.70%,383,
South Korea,270.056,514.946,673.324,1.82%,149.30%,6719,
Spain Andorra,229.966,368.948,282.364,0.76%,22.80%,558,
Sri Lanka,4.187,14.421,23.978,0.06%,472.70%,365,
Sudan South Sudan,5.536,10.773,21.056,0.06%,280.30%,8,
Suriname,0.908,1.686,2.213,0.01%,143.70%,14,
Sweden,58.117,55.877,50.874,0.14%,-12.50%,113,
Switzerland Liechtenstein,44.955,47.161,39.738,0.11%,-11.60%,959,
Syria,33.876,25.582,28.377,0.08%,-16.20%,153,
Taiwan,124.383,269.099,279.74,0.75%,124.90%,7729,
Tajikistan,12.267,3.263,5.699,0.02%,-53.50%,40,
Tanzania,2.096,5.78,14.65,0.04%,599.00%,16,
Thailand,93.009,225.613,279.296,0.75%,200.30%,544,
The Gambia,0.149,0.235,0.554,0.00%,271.80%,49,
Togo,0.765,1.327,2.843,0.01%,271.60%,50,
Tonga,0.064,0.12,0.136,0.00%,112.50%,182,
Trinidad and Tobago,14.895,34.45,37.745,0.10%,153.40%,7358,
Tunisia,14.705,23.355,31.63,0.09%,115.10%,193,
Turkey,149.893,246.169,429.563,1.16%,186.60%,548,
Turkmenistan,45.628,52.851,72.474,0.20%,58.80%,148,
Turks and Caicos Islands,0.007,0.005,0.165,0.00%,2257.10%,174,
Uganda,0.644,1.664,5.042,0.01%,682.90%,21,
Ukraine,783.21,354.429,205.723,0.55%,-73.70%,341,
United Arab Emirates,56.922,122.395,202.802,0.55%,256.30%,2426,
United Kingdom,589.038,561.543,379.15,1.02%,-35.60%,1564,
United States,5085.897,5971.571,5107.393,13.77%,0.40%,519,
Uruguay,3.893,5.483,6.93,0.02%,78.00%,39,
Uzbekistan,123.106,116.386,95.35,0.26%,-22.50%,213,
Vanuatu,0.13,0.063,0.091,0.00%,-30.00%,7,
Venezuela,109.268,152.464,145.877,0.39%,33.50%,159,
Vietnam,20.182,99.231,218.729,0.59%,983.80%,660,
Western Sahara,0.144,0.227,0.276,0.00%,91.70%,1,
Yemen,6.887,21.768,12.503,0.03%,81.50%,24,
Zambia,2.955,2.457,4.967,0.01%,68.10%,7,
Zimbabwe,17.178,11.388,12.087,0.03%,-29.60%,31,
